cohort,group,site,sex,ctl_bw6,ctl_median,n_ctl,n_tx,log_hr,se,hr,control_km_median,treated_km_median,median_gain_pct,control_cluster,sex_specific_control
C2011,Met,UM,m,34.847058823529416,829.0,105,57,0.0725661252602828,0.1808466717419994,1.0752639058450308,868.0,855.0,-1.4976958525345623,C2011|UM,C2011|UM|m
C2011,Met,UM,f,27.746,870.5,100,52,-0.0792511156248241,0.1771341049672196,0.923807912714202,873.0,864.0,-1.0309278350515463,C2011|UM,C2011|UM|f
C2011,Met,UT,m,42.49797979797979,715.0,99,51,-0.0721739837360116,0.178152300972681,0.930369012652405,715.0,792.0,10.76923076923077,C2011|UT,C2011|UT|m
C2011,Met,UT,f,32.29347826086956,859.5,92,44,0.1222347707428228,0.1901823477458617,1.1300193661269362,857.0,901.0,5.134189031505251,C2011|UT,C2011|UT|f
C2011,MetRapa,TJL,m,41.25,767.0,102,54,-0.8886937101393166,0.1818386346913368,0.4111925387211007,771.0,1023.0,32.68482490272373,C2011|TJL,C2011|TJL|m
C2011,MetRapa,TJL,f,30.795180722891565,890.0,96,48,-1.0041174027446504,0.2003359590754643,0.3663678474063254,892.0,1079.0,20.96412556053812,C2011|TJL,C2011|TJL|f
C2011,MetRapa,UM,m,34.847058823529416,829.0,105,57,-0.6080972174071817,0.1791022809265711,0.5443857318972162,868.0,1021.0,17.62672811059908,C2011|UM,C2011|UM|m
C2011,MetRapa,UM,f,27.746,870.5,100,52,-1.0761301620805868,0.1906733568979423,0.3409122514017401,873.0,1096.0,25.544100801832762,C2011|UM,C2011|UM|f
C2011,MetRapa,UT,m,42.49797979797979,715.0,99,51,-0.5391502221363305,0.1819687965910389,0.5832436694063502,715.0,827.0,15.664335664335665,C2011|UT,C2011|UT|m
C2011,MetRapa,UT,f,32.29347826086956,859.5,92,44,-0.9461998314176758,0.1988793849187358,0.3882135005999845,857.0,1054.0,22.987164527421236,C2011|UT,C2011|UT|f
C2011,Prot,TJL,m,41.25,767.0,102,54,-0.2700629337803771,0.1741636835482305,0.7633314534911241,771.0,766.0,-0.648508430609598,C2011|TJL,C2011|TJL|m
