cohort,group,init,weight_age,post_dosing,n_tx,diff_g,pct,p
C2009,Rapa_mid,9.0,12,True,247,-0.5283156508099668,-1.2195026570000325,0.3897506357712278
C2009,Rapa_mid,9.0,18,True,232,-3.167891689097803,-6.953973812272245,8.751108311748279e-08
C2009,Rapa_mid,9.0,24,True,197,-2.8449234110236055,-6.625782957641691,2.340276023223542e-05
C2010,FO_hi,9.0,6,False,290,-0.19963114913474614,-0.5735292655138731,0.9229763907465257
C2010,FO_hi,9.0,12,True,274,0.854270477120995,2.0058066749834618,0.09220237279489145
C2010,FO_hi,9.0,18,True,243,2.038897488633576,4.53001186300644,0.0037782959010818976
C2010,FO_hi,9.0,24,True,183,1.9458342106582458,4.653427041640993,0.020434215668284034
C2010,FO_lo,9.0,6,False,287,-0.08437111502999617,-0.24239355352845565,0.7900106758516348
C2010,FO_lo,9.0,12,True,271,0.8181125169825226,1.9209086482554916,0.09588254883765976
C2010,FO_lo,9.0,18,True,234,0.7491956133864338,1.6645589272011045,0.24770708705941166
C2010,FO_lo,9.0,24,True,195,1.2347968419195479,2.952994136729422,0.1252721350705039
C2010,ND_hi,6.0,6,True,288,-0.1334576426696407,-0.38341643630908556,0.9783452957158003
C2010,ND_hi,6.0,12,True,284,-4.0737162594521665,-9.564988471491446,8.248676520329744e-11
C2010,ND_hi,6.0,18,True,261,-5.471023943695941,-12.155492615935511,1.749824898913004e-16
C2010,ND_hi,6.0,24,True,211,-5.926945410670027,-14.174181899603761,1.7372565022620154e-19
C2010,ND_lo,6.0,6,True,152,-0.2666073968705476,-0.7659483260526755,6.480567447010775e-13
C2010,ND_lo,6.0,12,True,139,-0.5009295934039244,-1.1761707199955502,6.356278945461063e-06
C2010,ND_lo,6.0,18,True,121,0.6927624732170229,1.5391760691323242,0.08927468218578938
C2010,ND_lo,6.0,24,True,89,-0.2553441011235904,-0.6106507628366085,0.7825626128900535
C2010,ND_mid,6.0,6,True,149,0.7851940867041591,2.2558192435655915,2.1069731402736874e-18
C2010,ND_mid,6.0,12,True,144,-0.5353620474406924,-1.2570172996125448,4.214626129041022e-06
C2010,ND_mid,6.0,18,True,126,-0.1900264550264552,-0.42219979197277147,0.7179159998086616
C2010,ND_mid,6.0,24,True,104,-0.25754807692307935,-0.6159215307819386,0.7581054753237733
C2011,17aE2,10.0,6,False,251,0.6460395131421344,1.8679014744835505,0.05048335935741474
C2011,17aE2,10.0,12,True,274,-5.737817043043113,-13.646314232731617,9.023878666905851e-24
C2011,17aE2,10.0,18,True,263,-5.368371159714801,-12.291038710870842,3.3765672662903876e-17
C2011,17aE2,10.0,24,True,222,-4.965318869165015,-12.025766836603008,2.258845288251495e-14
C2011,Met,9.0,6,False,275,0.3355812520186163,0.9702699334997188,0.1620641471143191
C2011,Met,9.0,12,True,287,0.6850808306409909,1.6293353760874716,0.183685623172577
C2011,Met,9.0,18,True,257,1.278376077107909,2.926878448475098,0.03619089041871913
C2011,Met,9.0,24,True,214,0.02863907001218167,0.06936246945235214,0.9970850781772042
C2011,MetRapa,9.0,6,False,294,0.06196879420524951,0.17917108739212192,0.3994181056889669
C2011,MetRapa,9.0,12,True,287,-1.9727588906133582,-4.691834459825706,0.0008263951591820846
C2011,MetRapa,9.0,18,True,278,-3.9419677783737974,-9.025247532171726,5.3683626297347696e-11
C2011,MetRapa,9.0,24,True,253,-2.874118290749478,-6.960978204241997,2.465459050391585e-06
C2011,Prot,,6,False,259,-0.3409755389065707,-0.9858664972188491,0.6234834479328774
