cohort,group,site,sex,ctl_bw6,ctl_median,n_ctl,n_tx,log_hr,se,hr
C2009,Rapa_lo,UT,f,34.88804328260869,865.5,92,44,-0.7041836196852743,0.19797121858239955,0.49451211947027324
C2009,Rapa_mid,TJL,m,43.464646464646464,807.0,102,54,-0.06959635563308773,0.1733753209768525,0.9327702513862094
C2009,Rapa_mid,TJL,f,32.71666666666667,785.0,96,48,-1.0454731729596813,0.26787190120816257,0.3515254476833937
C2009,Rapa_mid,UM,m,35.86105234736842,907.0,99,51,-0.19848602019882114,0.18668270613136242,0.8199712336950992
C2009,Rapa_mid,UM,f,28.29325835955056,886.5,92,44,-1.2216625736803817,0.21783957388053007,0.29473973282321514
C2009,Rapa_mid,UT,m,44.640404060606066,704.0,99,51,-0.6634407985508601,0.19160181205335539,0.5150760091888548
C2009,Rapa_mid,UT,f,34.88804328260869,865.5,92,44,-1.2372283733071687,0.20579075147045922,0.2901873955019992
C2010,FO_hi,TJL,m,43.255102040816325,671.5,102,54,-0.12542230291993256,0.1774979310649063,0.8821243002468676
C2010,FO_hi,TJL,f,32.705263157894734,853.5,96,48,0.017305456833471053,0.17948852792446257,1.0174560637712111
C2010,FO_hi,UM,m,33.75757575757576,883.0,99,51,0.5438441021835202,0.18851547030469573,1.722616062993604
C2010,FO_hi,UM,f,25.860439560439563,916.0,92,44,0.060534763557226166,0.18742003664377518,1.062404529889044
C2010,FO_hi,UT,m,41.24444444444445,732.0,99,51,0.04212255463538267,0.17663683337830277,1.0430222981356183
C2010,FO_hi,UT,f,31.032608695652176,895.0,92,44,0.31244715118785366,0.18931518891080268,1.3667657073209623
C2010,FO_lo,TJL,m,43.255102040816325,671.5,102,54,-0.043611036960853874,0.17956935307569594,0.9573262495919116
C2010,FO_lo,TJL,f,32.705263157894734,853.5,96,48,0.126709268305841,0.18172228105850874,1.135086964049195
C2010,FO_lo,UM,m,33.75757575757576,883.0,99,51,0.04158179188968598,0.18781548611585186,1.0424584230089273
C2010,FO_lo,UM,f,25.860439560439563,916.0,92,44,0.3083463589196436,0.19333943437644255,1.361172361488968
C2010,FO_lo,UT,m,41.24444444444445,732.0,99,51,-0.35181463024689674,0.18362869271576798,0.7034105009226973
C2010,FO_lo,UT,f,31.032608695652176,895.0,92,44,0.10687379487070876,0.1888977795080707,1.1127938053307342
C2010,ND_hi,TJL,m,43.255102040816325,671.5,102,54,-0.3239904110371445,0.18698790248339273,0.7232571776328027
C2010,ND_hi,TJL,f,32.705263157894734,853.5,96,48,0.028590611331536182,0.1857152017294257,1.0290032459646523
C2010,ND_hi,UM,m,33.75757575757576,883.0,99,51,-0.030618407918595117,0.18285184167423255,0.9698455878706952
C2010,ND_hi,UM,f,25.860439560439563,916.0,92,44,-0.1011264799033503,0.19335285606871053,0.903818710753108
C2010,ND_hi,UT,m,41.24444444444445,732.0,99,51,-0.5836361144421266,0.18790239197760755,0.5578662088466103
C2010,ND_hi,UT,f,31.032608695652176,895.0,92,44,0.3561412025812281,0.1983248548836252,1.4278091443672507
C2010,ND_lo,TJL,m,43.255102040816325,671.5,102,54,-0.16581651504360528,0.19579478965680916,0.8472016686902545
C2010,ND_lo,UM,m,33.75757575757576,883.0,99,51,-0.20637385268388966,0.18377726846315645,0.8135288794690548
C2010,ND_lo,UT,m,41.24444444444445,732.0,99,51,-0.34697842288491154,0.18497591140797798,0.706820579242198
C2010,ND_mid,TJL,m,43.255102040816325,671.5,102,54,-0.31772276673533223,0.18908249550113163,0.7278045320747436
C2010,ND_mid,UM,m,33.75757575757576,883.0,99,51,-0.07102657207780541,0.18704584562262283,0.93143714157856
C2010,ND_mid,UT,m,41.24444444444445,732.0,99,51,-0.3673278576861404,0.18041959187589277,0.6925825393084466
C2011,17aE2,TJL,m,41.25,767.0,102,54,-0.8041010516699623,0.18224898633263403,0.4474900162061476
