cohort,group,sex,weight_age,within_arm,n,int_hr,int_lo,int_hi,int_p,coef,se
C2011,17aE2,f,6,True,390,1.1251427388915312,0.8971179107412521,1.411125748046136,0.3075364086048399,0.11790990662261636,0.1155520631345592
C2011,Met,m,6,True,408,0.8838219196525298,0.7065669970314901,1.1055443983940694,0.2795252010535307,-0.12349968499480607,0.11420493878403105
C2011,Met,f,6,True,403,1.1446512437103018,0.9033403736316284,1.4504239021888725,0.2633900992199696,0.13509999996302588,0.1207960258194778
C2011,MetRapa,m,6,True,417,0.8677485200648205,0.705026858138571,1.0680266792427482,0.18062934785015544,-0.14185332972735346,0.10595401352053498
C2011,MetRapa,f,6,True,413,1.079156417378515,0.8616023141684807,1.3516428101671814,0.5072145041306619,0.07617964090257565,0.11487002308484236
C2011,Prot,m,6,True,405,0.9442935823585143,0.7585119583951375,1.1755785255780518,0.6080974446936294,-0.05731816292543324,0.1117768251218963
C2011,Prot,f,6,True,390,1.2440955493746735,0.986822635225312,1.5684416639069916,0.06463964278884146,0.21840879954638853,0.11820306799349611
C2011,UDCA,m,12,True,414,0.6598823974793042,0.5299086356041834,0.821735577127471,0.00020381556093447854,-0.41569364547603044,0.11191890728747969
C2011,UDCA,f,12,True,420,0.7357300700943827,0.5809334643372442,0.9317740658280445,0.010888181795241475,-0.3068919801125938,0.12052622887552605
C2013,ACA_hi,m,6,True,468,0.8787254200101744,0.716168877409452,1.078179167133222,0.21544657090043243,-0.12928280778739273,0.10436746356313194
C2013,ACA_hi,f,6,True,434,0.9479317725716273,0.7757644317512907,1.1583086419961948,0.6010510629925571,-0.053472749178222596,0.10226393169384268
C2013,ACA_lo,m,6,True,465,1.0153650658287325,0.8274782401328817,1.2459133870877708,0.8838776426550399,0.015248218594949707,0.10440022786008292
C2013,ACA_lo,f,6,True,422,0.9726205783069445,0.7920559419991012,1.1943484534167015,0.791046752811096,-0.02776122319911704,0.10477847258708158
C2013,ACA_mid,m,6,True,462,0.8608602746839342,0.6982715597746673,1.0613068829096317,0.16066517882889655,-0.14982307032070835,0.10679998668020102
C2013,ACA_mid,f,6,True,425,0.9167712615193392,0.7498403186909353,1.1208647027877148,0.3967997373461628,-0.08689728002329343,0.10255174334540415
C2014,Asp_200,m,6,True,287,0.9107895853112246,0.6927501548374533,1.1974557680265476,0.5033117285501467,-0.09344337951841994,0.13961608191161212
C2014,Asp_200,f,6,True,280,1.086334486451784,0.8420818461985183,1.4014345776268533,0.523952926230553,0.08280917266430668,0.12994485593909136
C2014,Asp_60,m,6,True,291,0.8218038778381183,0.6504030230591558,1.038374038381957,0.10008574741156087,-0.19625350383123477,0.11934380977059791
C2014,Asp_60,f,6,True,279,1.160813594717404,0.9014887547149397,1.4947365617520452,0.24767807037813985,0.1491211340263294,0.12899667871879433
C2014,Gly,m,6,True,291,0.9263334681350773,0.7220090676052306,1.1884804951734151,0.5472755327831912,-0.07652099238589968,0.12714345301132618
C2014,Gly,f,6,True,275,0.9131710145541088,0.7050799696039568,1.182676203793126,0.4912028906497541,-0.09083210535355264,0.1319472945558151
C2014,Inu,m,6,True,290,0.9930543133889974,0.7671220188344273,1.2855280452500495,0.9577954916092956,-0.0069699201699132815,0.13170623863513567
C2014,Inu,f,6,True,279,0.923791435673877,0.7142652480282241,1.1947810970507713,0.5458534636652591,-0.07926895178647875,0.13124319632132597
C2014,TM,m,6,True,287,1.1292414612772927,0.8869814194354412,1.4376696624370378,0.3238703248422189,0.1215461341135773,0.12320500813237653
C2014,TM,f,6,True,280,0.9406620368272188,0.726069140887301,1.2186787975131363,0.6433503885356513,-0.06117135712002633,0.13211399711037225
C2015,DMAG,m,12,True,260,0.9831450437964979,0.7594291259805505,1.272764164652769,0.8973263523360002,-0.016998617536103787,0.1317318391982445
C2015,DMAG,f,12,True,266,1.1129555131747355,0.8375120171631801,1.4789877027695204,0.46070345186387296,0.10701910130116915,0.1450734656750318
C2015,Min,m,12,True,259,0.9778704165763762,0.7277534855066,1.3139484326201603,0.8819716794029179,-0.02237811611417006,0.15072460165359433
C2015,Min,f,12,True,269,1.128297414485174,0.8561523725296615,1.4869491651029954,0.3913637596925277,0.1207097836460102,0.14082743316356386
C2015,MitoQ,m,6,True,279,1.0043708656838009,0.7636066999175307,1.3210476491934569,0.975117947459662,0.004361341193813474,0.13983101547032842
C2015,MitoQ,f,6,True,275,1.095254104993256,0.8402386724365327,1.4276676304674472,0.5010731193724376,0.09098639570142864,0.13523497954161165
C2015,bGPA,m,12,True,255,0.9460483008834715,0.7173815135919066,1.247603082386706,0.6944120806581833,-0.05546165321732036,0.1411688336118727
C2015,bGPA,f,12,True,274,1.1805828726685597,0.9212568555197953,1.5129069714785968,0.18957200375333277,0.16600827640815738,0.12654552447374617
