population,cohort,site,sex,id,group,dose,age_initiation,status,dead,age,Rx(ppm),Unnamed: 11,weight_42d,weight_6m,weight_12m,maternal_age_days,parity,Tx,entry,mean,std,weight_42d_z,arm,positive_m,positive_f,mouse
UM-HET3,C2004,UM,f,UM03227,Control,0,,dead,1,1122,,,16.6,34.700001,41.0,,,0,121.75,16.733962188679246,1.640115255074368,-0.08167852122878447,C2004|Aspirin,True,False,C2004|UM03227
UM-HET3,C2004,UM,f,UM03234,Control,0,,dead,1,583,,,15.1,23.200001,24.700001,,,0,121.75,16.733962188679246,1.640115255074368,-0.9962483939003163,C2004|Aspirin,True,False,C2004|UM03234
UM-HET3,C2004,UM,f,UM03283,Control,0,,dead,1,907,,,17.5,34.200001,45.299999,,,0,121.75,16.733962188679246,1.640115255074368,0.46706340237413313,C2004|Aspirin,True,False,C2004|UM03283
UM-HET3,C2004,UM,f,UM03290,Control,0,,dead,1,887,,,17.6,28.299999,34.700001,,,0,121.75,16.733962188679246,1.640115255074368,0.5280347272189027,C2004|Aspirin,True,False,C2004|UM03290
UM-HET3,C2004,UM,f,UM03304,Control,0,,dead,1,905,,,15.5,26.200001,34.599998,,,0,121.75,16.733962188679246,1.640115255074368,-0.7523630945212413,C2004|Aspirin,True,False,C2004|UM03304
UM-HET3,C2004,UM,f,UM03451,Control,0,,dead,1,922,,,14.6,26.4,33.400002,,,0,121.75,16.733962188679246,1.640115255074368,-1.30110501812416,C2004|Aspirin,True,False,C2004|UM03451
UM-HET3,C2004,UM,f,UM03500,Control,0,,dead,1,1111,,,17.6,28.4,36.799999,,,0,121.75,16.733962188679246,1.640115255074368,0.5280347272189027,C2004|Aspirin,True,False,C2004|UM03500
UM-HET3,C2004,UM,f,UM03507,Control,0,,dead,1,637,,,15.7,21.700001,24.799999,,,0,121.75,16.733962188679246,1.640115255074368,-0.6304204448317042,C2004|Aspirin,True,False,C2004|UM03507
UM-HET3,C2004,UM,f,UM03514,Control,0,,dead,1,427,,,17.299999,29.0,36.400002,,,0,121.75,16.733962188679246,1.640115255074368,0.345120142971347,C2004|Aspirin,True,False,C2004|UM03514
UM-HET3,C2004,UM,f,UM03521,Control,0,,dead,1,1039,,,16.5,28.799999,35.0,,,0,121.75,16.733962188679246,1.640115255074368,-0.14264984607355405,C2004|Aspirin,True,False,C2004|UM03521
UM-HET3,C2004,UM,f,UM03780,Control,0,,dead,1,1032,,,17.700001,28.5,33.5,,,0,121.75,16.733962188679246,1.640115255074368,0.5890066617769192,C2004|Aspirin,True,False,C2004|UM03780
UM-HET3,C2004,UM,f,UM03787,Control,0,,dead,1,927,,,18.5,26.200001,28.5,,,0,121.75,16.733962188679246,1.640115255074368,1.0767766508218204,C2004|Aspirin,True,False,C2004|UM03787
UM-HET3,C2004,UM,f,UM04676,Control,0,,dead,1,1037,,,19.799999,42.799999,50.599998,,,0,121.75,16.733962188679246,1.640115255074368,1.869403264090565,C2004|Aspirin,True,False,C2004|UM04676
UM-HET3,C2004,UM,f,UM04683,Control,0,,dead,1,942,,,19.299999,30.200001,30.4,,,0,121.75,16.733962188679246,1.640115255074368,1.5645466398667214,C2004|Aspirin,True,False,C2004|UM04683
UM-HET3,C2004,UM,f,UM04704,Control,0,,dead,1,1022,,,18.0,29.200001,30.200001,,,0,121.75,16.733962188679246,1.640115255074368,0.7719200265979768,C2004|Aspirin,True,False,C2004|UM04704
UM-HET3,C2004,UM,f,UM04711,Control,0,,dead,1,1050,,,15.9,21.9,23.4,,,0,121.75,16.733962188679246,1.640115255074368,-0.5084777951421662,C2004|Aspirin,True,False,C2004|UM04711
UM-HET3,C2004,UM,f,UM04935,Control,0,,dead,1,971,,,16.1,25.299999,36.799999,,,0,121.75,16.733962188679246,1.640115255074368,-0.38653514545262807,C2004|Aspirin,True,False,C2004|UM04935
UM-HET3,C2004,UM,f,UM04942,Control,0,,dead,1,1008,,,17.4,28.299999,43.299999,,,0,121.75,16.733962188679246,1.640115255074368,0.40609207752936355,C2004|Aspirin,True,False,C2004|UM04942
UM-HET3,C2004,UM,f,UM04949,Control,0,,dead,1,936,,,16.799999,30.6,36.299999,,,0,121.75,16.733962188679246,1.640115255074368,0.04026351874750345,C2004|Aspirin,True,False,C2004|UM04949
UM-HET3,C2004,UM,m,UM00070,Control,0,,dead,1,1033,,,17.799999,35.299999,45.099998,,,0,121.75,21.1257144,2.399558276603475,-1.3859698397104492,C2004|Aspirin,True,False,C2004|UM00070
UM-HET3,C2004,UM,m,UM00126,Control,0,,dead,1,910,,,21.6,40.400002,45.299999,,,0,121.75,21.1257144,2.399558276603475,0.19765537875218567,C2004|Aspirin,True,False,C2004|UM00126
UM-HET3,C2004,UM,m,UM00133,Control,0,,dead,1,876,,,21.700001,41.299999,48.299999,,,0,121.75,21.1257144,2.399558276603475,0.23933013238290315,C2004|Aspirin,True,False,C2004|UM00133
UM-HET3,C2004,UM,m,UM00140,Control,0,,dead,1,722,,,20.200001,38.799999,42.299999,,,0,121.75,21.1257144,2.399558276603475,-0.38578492092733313,C2004|Aspirin,True,False,C2004|UM00140
UM-HET3,C2004,UM,m,UM00203,Control,0,,dead,1,1305,,,19.200001,31.6,37.700001,,,0,121.75,21.1257144,2.399558276603475,-0.8025282898008239,C2004|Aspirin,True,False,C2004|UM00203
UM-HET3,C2004,UM,m,UM00210,Control,0,,dead,1,1134,,,18.0,33.400002,41.900002,,,0,121.75,21.1257144,2.399558276603475,-1.302620749192382,C2004|Aspirin,True,False,C2004|UM00210
UM-HET3,C2004,UM,m,UM00350,Control,0,,dead,1,432,,,19.700001,34.799999,38.799999,,,0,121.75,21.1257144,2.399558276603475,-0.5941566053640785,C2004|Aspirin,True,False,C2004|UM00350
UM-HET3,C2004,UM,m,UM00525,Control,0,,dead,1,766,,,20.799999,40.099998,46.900002,,,0,121.75,21.1257144,2.399558276603475,-0.1357397330899766,C2004|Aspirin,True,False,C2004|UM00525
UM-HET3,C2004,UM,m,UM00532,Control,0,,dead,1,1004,,,21.200001,43.599998,47.299999,,,0,121.75,21.1257144,2.399558276603475,0.030958447946157736,C2004|Aspirin,True,False,C2004|UM00532
UM-HET3,C2004,UM,m,UM00539,Control,0,,dead,1,1083,,,19.700001,35.099998,39.200001,,,0,121.75,21.1257144,2.399558276603475,-0.5941566053640785,C2004|Aspirin,True,False,C2004|UM00539
